organization,soil_property,prep_transform,train,prep_spectra,components,n,rmse,bias,rsq,ccc,rpd,rpiq
2,clay_perc,withoutTransform,int10CVrep10,BOC,9,69,12.580026436522015,1.1159266026727057,0.4644238155016857,0.6314467376717512,1.0548507071829174,1.288036927621252
2,clay_perc,withoutTransform,int10CVrep10,raw,17,69,9.947370156548661,1.070844763804299,0.5559894253076587,0.7198070952566105,1.2433203164810966,1.518169793682183
2,clay_perc,withoutTransform,int10CVrep10,SG1stDer,9,69,10.158870588461799,1.104207697282011,0.5608272032110516,0.7209346834121353,1.1721957732762671,1.4313223967148245
2,clay_perc,withoutTransform,int10CVrep10,SNV,19,69,6.4087260860099775,-0.00551031030154365,0.7218376165176995,0.84327797784761,1.9318143946010167,2.3588629752180896
2,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer,8,69,7.836678998886041,0.6917981689159668,0.6487505946319656,0.7990385678783871,1.5175026504709672,1.8529631143630565
2,clay_perc,withoutTransform,int10CVrep10,wavelet,8,69,9.806902866156516,0.9233869646106284,0.5565954272389212,0.7260139025638105,1.208859727312976,1.476091316515814
2,pH_H20,withoutTransform,int10CVrep10,BOC,7,70,0.6459636242241112,-0.010756868107320768,0.7494056755233928,0.8546357770152817,2.0690473912303733,3.2694579408760887
2,pH_H20,withoutTransform,int10CVrep10,raw,7,70,0.5158744643769924,0.0037497508391749297,0.8199887152511851,0.9027677746635971,2.3776096326714393,3.7570404268113724
2,pH_H20,withoutTransform,int10CVrep10,SG1stDer,5,70,0.6602845908331965,-0.06935414195440408,0.7522752597269012,0.8624350701642373,1.8671205661440105,2.950378124457811
2,pH_H20,withoutTransform,int10CVrep10,SNV,7,70,0.48740840203299685,0.0036546597319187233,0.8440321863938713,0.9177196180226463,2.525206365457427,3.990269163910311
2,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer,5,70,0.48893594942764995,-0.027779887282533312,0.8435862577110324,0.917749500950486,2.5094052034845156,3.965300555309866
2,pH_H20,withoutTransform,int10CVrep10,wavelet,5,70,0.6284451290644694,-0.05965375931331094,0.7613434262245687,0.8701525773418288,1.9542678688106963,3.0880861547026353
2,potassium_cmolkg,logTransform,int10CVrep10,BOC,5,69,0.5494577461673014,0.008673846340200719,0.5219009507248374,0.7191674327529612,1.4002315925902205,1.8581389009907134
2,potassium_cmolkg,logTransform,int10CVrep10,raw,5,69,0.5832586674717279,-0.013133339734245937,0.4724378291972892,0.6842801194328361,1.3190878521162352,1.7504593274512443
2,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer,5,69,0.566438498255375,-0.009107814481388232,0.5132187578788433,0.7157333230696677,1.3555495816846086,1.7988448648630013
2,potassium_cmolkg,logTransform,int10CVrep10,SNV,5,69,0.5856486619747627,-0.01701126295461595,0.4695520982970598,0.6826716116586805,1.3121046250730921,1.741192427681249
2,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer,5,69,0.5611077388719051,-0.012124808677163623,0.5175130054051215,0.718615890970153,1.3684542353361202,1.8159696312806253
2,potassium_cmolkg,logTransform,int10CVrep10,wavelet,5,69,0.5359985018860409,-0.004788333728180624,0.5516162892514022,0.7416569712272423,1.4332236840928274,1.9019201504429102
3,carbon_org_perc,logTransform,int10CVrep10,BOC,9,69,0.4485563254722427,0.0032269572242747176,0.8593352243806497,0.9234483296425865,2.6893223558848134,3.5600935029174026
3,carbon_org_perc,logTransform,int10CVrep10,raw,6,69,0.46302868762373406,9.177490332213866e-4,0.8508256629763339,0.9208746053742127,2.602261086449485,3.444842811978763
3,carbon_org_perc,logTransform,int10CVrep10,SG1stDer,14,69,0.3121973005674142,0.009831289418332086,0.9320053224552194,0.9648908322788452,3.862497005952839,5.113128393046974
3,carbon_org_perc,logTransform,int10CVrep10,SNV,7,69,0.4136986397439084,0.015425768788650871,0.8802010385829399,0.93645136083749,2.923450948679325,3.870030197650563
3,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer,10,69,0.30911066626274347,0.009821704922635016,0.9332099716930359,0.9652595845276299,3.904633492785198,5.1689081818400116
3,carbon_org_perc,logTransform,int10CVrep10,wavelet,10,69,0.32359454177870794,0.007902222046284425,0.9268767576514102,0.9615591677769028,3.7311692495883686,4.939278244081829
3,clay_perc,withoutTransform,int10CVrep10,BOC,22,69,6.694546551055491,0.6851260411351825,0.7277944365121245,0.8472311402939166,1.7872466454675078,2.1823369529487078
3,clay_perc,withoutTransform,int10CVrep10,raw,21,69,6.80615098095259,0.7131984397806291,0.7159264292877136,0.8415290379339331,1.740729541837938,2.125536737683288
3,clay_perc,withoutTransform,int10CVrep10,SG1stDer,15,69,6.296782784556084,0.5806707912057931,0.747774150491721,0.8615494930698897,1.8832067434414077,2.299510074156185
3,clay_perc,withoutTransform,int10CVrep10,SNV,18,69,5.942008200340764,0.1339495525487589,0.7531339137905905,0.8666645699597983,1.996484652969053,2.437829297494436
3,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer,15,69,6.0433751400642315,0.515539281804036,0.7524811941484282,0.865678249371321,1.9549287070583534,2.3870869578147693
3,clay_perc,withoutTransform,int10CVrep10,wavelet,8,69,6.868903156968244,0.3994253705681377,0.7043784341086482,0.8359097368230031,1.7400590688286863,2.1247180493238744
3,pH_H20,withoutTransform,int10CVrep10,BOC,18,70,0.4807865843611199,-0.05635024909546319,0.8644433476575402,0.9255614751043728,2.5788463971782862,4.075029826426756
3,pH_H20,withoutTransform,int10CVrep10,raw,18,70,0.5344442747469573,-0.005115098269434782,0.8482011202110654,0.9133498588978726,2.3127021150783786,3.6544751594730576
3,pH_H20,withoutTransform,int10CVrep10,SG1stDer,14,70,0.3679364652748247,0.006803313392659109,0.9130077936516479,0.9545738328591109,3.3628471681700254,5.313888615856253
3,pH_H20,withoutTransform,int10CVrep10,SNV,10,70,0.4076058518424409,0.007280948693924953,0.8908223188464098,0.9426918905209738,3.0202256945051476,4.772486566518864
3,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer,10,70,0.3341137812104882,0.015988510905117652,0.9287767655967765,0.9628931180468617,3.6573488348338175,5.77925292638691
